Entity,Code,Year,number_nondem_bmr_owid,number_dem_18_bmr_owid,number_dem_30_bmr_owid,number_dem_60_bmr_owid,number_dem_90_bmr_owid,number_dem_91plus_bmr_owid
Africa,,1800,1,0,0,0,0,0
Africa,,1801,1,0,0,0,0,0
Africa,,1802,1,0,0,0,0,0
Africa,,1803,1,0,0,0,0,0
Africa,,1804,1,0,0,0,0,0
Africa,,1805,1,0,0,0,0,0
Africa,,1806,1,0,0,0,0,0
Africa,,1807,1,0,0,0,0,0
Africa,,1808,1,0,0,0,0,0
Africa,,1809,1,0,0,0,0,0
Africa,,1810,1,0,0,0,0,0
Africa,,1811,1,0,0,0,0,0
Africa,,1812,1,0,0,0,0,0
Africa,,1813,1,0,0,0,0,0
Africa,,1814,1,0,0,0,0,0
Africa,,1815,1,0,0,0,0,0
Africa,,1816,1,0,0,0,0,0
Africa,,1817,1,0,0,0,0,0
Africa,,1818,1,0,0,0,0,0
Africa,,1819,1,0,0,0,0,0
Africa,,1820,1,0,0,0,0,0
Africa,,1821,1,0,0,0,0,0
Africa,,1822,1,0,0,0,0,0
Africa,,1823,1,0,0,0,0,0
Africa,,1824,1,0,0,0,0,0
Africa,,1825,1,0,0,0,0,0
Africa,,1826,1,0,0,0,0,0
Africa,,1827,1,0,0,0,0,0
Africa,,1828,1,0,0,0,0,0
Africa,,1829,1,0,0,0,0,0
Africa,,1830,1,0,0,0,0,0
Africa,,1831,1,0,0,0,0,0
Africa,,1832,1,0,0,0,0,0
Africa,,1833,1,0,0,0,0,0
Africa,,1834,1,0,0,0,0,0
Africa,,1835,1,0,0,0,0,0
Africa,,1836,1,0,0,0,0,0
Africa,,1837,1,0,0,0,0,0
Africa,,1838,1,0,0,0,0,0
Africa,,1839,1,0,0,0,0,0
Africa,,1840,1,0,0,0,0,0
Africa,,1841,1,0,0,0,0,0
Africa,,1842,1,0,0,0,0,0
Africa,,1843,1,0,0,0,0,0
Africa,,1844,1,0,0,0,0,0
Africa,,1845,1,0,0,0,0,0
Africa,,1846,1,0,0,0,0,0
Africa,,1847,2,0,0,0,0,0
Africa,,1848,2,0,0,0,0,0
Africa,,1849,2,0,0,0,0,0
Africa,,1850,2,0,0,0,0,0
Africa,,1851,2,0,0,0,0,0
Africa,,1852,2,0,0,0,0,0
Africa,,1853,2,0,0,0,0,0
Africa,,1854,2,1,0,0,0,0
Africa,,1855,3,1,0,0,0,0
Africa,,1856,3,1,0,0,0,0
Africa,,1857,3,1,0,0,0,0
Africa,,1858,3,1,0,0,0,0
Africa,,1859,3,1,0,0,0,0
Africa,,1860,3,1,0,0,0,0
Africa,,1861,3,1,0,0,0,0
Africa,,1862,3,1,0,0,0,0
Africa,,1863,3,1,0,0,0,0
Africa,,1864,3,1,0,0,0,0
Africa,,1865,3,1,0,0,0,0
Africa,,1866,3,1,0,0,0,0
Africa,,1867,3,1,0,0,0,0
Africa,,1868,3,1,0,0,0,0
Africa,,1869,3,1,0,0,0,0
Africa,,1870,3,1,0,0,0,0
Africa,,1871,3,1,0,0,0,0
Africa,,1872,3,0,1,0,0,0
Africa,,1873,3,0,1,0,0,0
Africa,,1874,3,0,1,0,0,0
Africa,,1875,3,0,1,0,0,0
Africa,,1876,3,0,1,0,0,0
Africa,,1877,3,0,1,0,0,0
Africa,,1878,3,0,1,0,0,0
Africa,,1879,3,0,1,0,0,0
Africa,,1880,3,0,1,0,0,0
Africa,,1881,3,0,1,0,0,0
Africa,,1882,3,0,1,0,0,0
Africa,,1883,3,0,1,0,0,0
Africa,,1884,3,0,0,1,0,0
Africa,,1885,3,0,0,1,0,0
Africa,,1886,3,0,0,1,0,0
Africa,,1887,3,0,0,1,0,0
Africa,,1888,3,0,0,1,0,0
Africa,,1889,3,0,0,1,0,0
Africa,,1890,3,0,0,1,0,0
Africa,,1891,3,0,0,1,0,0
Africa,,1892,3,0,0,1,0,0
Africa,,1893,3,0,0,1,0,0
Africa,,1894,3,0,0,1,0,0
Africa,,1895,3,0,0,1,0,0
Africa,,1896,3,0,0,1,0,0
Africa,,1897,3,0,0,1,0,0
Africa,,1898,3,0,0,1,0,0
Africa,,1899,3,0,0,1,0,0
Africa,,1900,3,0,0,1,0,0
Africa,,1901,3,0,0,1,0,0
Africa,,1902,3,0,0,1,0,0
Africa,,1903,3,0,0,0,0,0
Africa,,1904,3,0,0,0,0,0
Africa,,1905,3,0,0,0,0,0
Africa,,1906,3,0,0,0,0,0
Africa,,1907,3,0,0,0,0,0
Africa,,1908,3,0,0,0,0,0
Africa,,1909,3,0,0,0,0,0
Africa,,1910,4,0,0,0,0,0
Africa,,1911,4,0,0,0,0,0
Africa,,1912,3,0,0,0,0,0
Africa,,1913,3,0,0,0,0,0
Africa,,1914,3,0,0,0,0,0
Africa,,1915,3,0,0,0,0,0
Africa,,1916,3,0,0,0,0,0
Africa,,1917,3,0,0,0,0,0
Africa,,1918,3,0,0,0,0,0
Africa,,1919,3,0,0,0,0,0
Africa,,1920,3,0,0,0,0,0
Africa,,1921,3,0,0,0,0,0
Africa,,1922,4,0,0,0,0,0
Africa,,1923,4,0,0,0,0,0
Africa,,1924,4,0,0,0,0,0
Africa,,1925,4,0,0,0,0,0
Africa,,1926,4,0,0,0,0,0
Africa,,1927,4,0,0,0,0,0
Africa,,1928,4,0,0,0,0,0
Africa,,1929,4,0,0,0,0,0
Africa,,1930,4,0,0,0,0,0
Africa,,1931,4,0,0,0,0,0
Africa,,1932,4,0,0,0,0,0
Africa,,1933,4,0,0,0,0,0
Africa,,1934,4,0,0,0,0,0
Africa,,1935,3,0,0,0,0,0
Africa,,1936,3,0,0,0,0,0
Africa,,1937,3,0,0,0,0,0
Africa,,1938,3,0,0,0,0,0
Africa,,1939,3,0,0,0,0,0
Africa,,1940,3,0,0,0,0,0
Africa,,1941,3,0,0,0,0,0
Africa,,1942,4,0,0,0,0,0
Africa,,1943,4,0,0,0,0,0
